druid,purl,Title,Subtitle,Date,Type,Type URI
druid:hh819tv9246,https://purl.stanford.edu/hh819tv9246,The,True Jamaica,,still image,
druid:hh847yb4747,https://purl.stanford.edu/hh847yb4747,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:hh864vd2488,https://purl.stanford.edu/hh864vd2488,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:hh881fd0821,https://purl.stanford.edu/hh881fd0821,Ujamaa residents,,,still image,http://vocab.getty.edu/aat/300046300
druid:hh995cv7443,https://purl.stanford.edu/hh995cv7443,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:hj165yg9738,https://purl.stanford.edu/hj165yg9738,"Martin Luther King, Jr. at Stanford",,4/14/67,still image,http://vocab.getty.edu/aat/300046300
druid:hj443df9663,https://purl.stanford.edu/hj443df9663,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:hj551rh2238,https://purl.stanford.edu/hj551rh2238,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:hj551wr2402,https://purl.stanford.edu/hj551wr2402,"Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:hj657kn5578,https://purl.stanford.edu/hj657kn5578,The Real News,,9/29/72,text,
druid:hk225zt7207,https://purl.stanford.edu/hk225zt7207,"The Real News, Volume 5, Number 3",,4/22/71,text,
druid:hk231qf4097,https://purl.stanford.edu/hk231qf4097,"Jayal and Kim, photograph shared at Black Grad 2003 slideshow, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:hk578rt0264,https://purl.stanford.edu/hk578rt0264,"Ella Fitzgerald and Duke Ellington, Jazz Year 1965",,10/31/65,still image,http://vocab.getty.edu/aat/300046300
druid:hk618gh2377,https://purl.stanford.edu/hk618gh2377,Below the Skin (camera 2),,2003,moving image,http://vocab.getty.edu/aat/300069200
druid:hk678vk2370,https://purl.stanford.edu/hk678vk2370,Lena Horne closing night performance,,11/11/82,still image,http://vocab.getty.edu/aat/300224742
druid:hk703jg7200,https://purl.stanford.edu/hk703jg7200,Ujamaa residents,,,still image,http://vocab.getty.edu/aat/300046300
druid:hk704pc3293,https://purl.stanford.edu/hk704pc3293,"Black Lives Matter memorial, Stanford University",,7/22/20,still image,http://vocab.getty.edu/aat/300417379
druid:hk730yn4404,https://purl.stanford.edu/hk730yn4404,Blacks in Practical Production,,4/30/93,moving image,http://vocab.getty.edu/aat/300069200
druid:hk971hk1674,https://purl.stanford.edu/hk971hk1674,Collard Greens Cultural Festival,,7/24/04,still image,http://vocab.getty.edu/aat/300046300
druid:hm004cj3022,https://purl.stanford.edu/hm004cj3022,Collard Greens Cultural Festival,,7/24/04,still image,http://vocab.getty.edu/aat/300046300
druid:hm073bk8062,https://purl.stanford.edu/hm073bk8062,Black Recruitment and Orientation Committee,,3/13/80,text,
druid:hm149vd1063,https://purl.stanford.edu/hm149vd1063,Ujamaa posters,,,text,http://vocab.getty.edu/aat/300027221
druid:hm207qr7495,https://purl.stanford.edu/hm207qr7495,"Martin Luther King, Jr. at Stanford",,4/23/64,still image,http://vocab.getty.edu/aat/300046300
druid:hm611kj5284,https://purl.stanford.edu/hm611kj5284,Sit-in protesting South African Investment - Board of Trustee's Meeting at Hoover Institute - Protestors block Trustee's Cars - Students Out of South Africa,,5/16/85,still image,http://vocab.getty.edu/aat/300046300
druid:hm703vw6426,https://purl.stanford.edu/hm703vw6426,W14-AFRICAST-301A-01,The Dynamics Of Change In Africa,2014,text,http://vocab.getty.edu/aat/300028026
druid:hm709bk0179,https://purl.stanford.edu/hm709bk0179,Reverse Town Hall: Reopening with Justice and Equity,,9/10/20,moving image,
druid:hm738rr1768,https://purl.stanford.edu/hm738rr1768,Students Out of South Africa--Sit-in at Old Union,,10/16/85,still image,http://vocab.getty.edu/aat/300046300
druid:hm756cf7854,https://purl.stanford.edu/hm756cf7854,Sit-in protesting South African Investment - Board of Trustee's Meeting at Hoover Institute - Protestors block Trustee's Cars - Students Out of South Africa,,5/16/85,still image,http://vocab.getty.edu/aat/300046300
druid:hm868jk8931,https://purl.stanford.edu/hm868jk8931,Report to the Faculty Senate. Admissions and financial aid for applicants who are female or from ethnic minorities,,1974,text,
druid:hm902rd1119,https://purl.stanford.edu/hm902rd1119,Dalai Lama Luncheon ‘A’ Camera; Walk in Quad; MLK with Clayborne Carson motorcade,,11/4/05,moving image,http://id.loc.gov/authorities/genreForms/gf2011026712
druid:hn506dp5542,https://purl.stanford.edu/hn506dp5542,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:hn511zz9409,https://purl.stanford.edu/hn511zz9409,The Colonist,"Volume 3, Number 1",10/23/70,text,http://vocab.getty.edu/aat/300026656
druid:hn579wz6683,https://purl.stanford.edu/hn579wz6683,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:hn626kg5849,https://purl.stanford.edu/hn626kg5849,W15-AFRICAAM-146A-01,African Politics,2015,text,http://vocab.getty.edu/aat/300028026
druid:hn639hm2088,https://purl.stanford.edu/hn639hm2088,"Photograph shared at Black Grad 2003 slideshow, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:hn706fq6181,https://purl.stanford.edu/hn706fq6181,"Boyd, Harold",,6/22/09,sound recording-nonmusical,
druid:hn751mw7857,https://purl.stanford.edu/hn751mw7857,Black Pre-Medical Conference memo,,9/16/80,text,
druid:hn771kj9356,https://purl.stanford.edu/hn771kj9356,F13-AFRICAAM-30-01,The Egyptians,2013,text,http://vocab.getty.edu/aat/300028026
druid:hn787fz6612,https://purl.stanford.edu/hn787fz6612,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:hp187dy3430,https://purl.stanford.edu/hp187dy3430,East Palo Alto/Nairobi Legacy Reunion: Faye McNair-Knox,,7/23/04,still image,http://vocab.getty.edu/aat/300046300
druid:hp205ng8000,https://purl.stanford.edu/hp205ng8000,Emerging Africa! Stanford African Students' Association presents Africa Week at Stanford. [schedule of events 16th-23rd of April],,2006,still image,http://vocab.getty.edu/aat/300027221
druid:hp227fm6990,https://purl.stanford.edu/hp227fm6990,"Martin Luther King, Jr. at Stanford",,4/14/67,still image,http://vocab.getty.edu/aat/300046300
druid:hp396fs4597,https://purl.stanford.edu/hp396fs4597,"Black Lives Matter memorial, Stanford University",,7/12/20,still image,http://vocab.getty.edu/aat/300417379
druid:hp516pg6982,https://purl.stanford.edu/hp516pg6982,Black Students Union-Ujamaa committee meeting,,,still image,http://vocab.getty.edu/aat/300224742
druid:hp536xs8397,https://purl.stanford.edu/hp536xs8397,Grapevine,,4/21/80,text,
druid:hp599ss9907,https://purl.stanford.edu/hp599ss9907,Ujamaa posters,,,text,http://vocab.getty.edu/aat/300027221
druid:hp729mx8359,https://purl.stanford.edu/hp729mx8359,Sit-in protesting South African Investment - Board of Trustee's Meeting at Hoover Institute - Protestors block Trustee's Cars - Students Out of South Africa,,5/16/85,still image,http://vocab.getty.edu/aat/300046300
druid:hp784mv1973,https://purl.stanford.edu/hp784mv1973,"Rally the Resistance, Stanford University",,1/20/17,still image,http://vocab.getty.edu/aat/300046300
druid:hp831mh7919,https://purl.stanford.edu/hp831mh7919,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:hp982zv2540,https://purl.stanford.edu/hp982zv2540,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:hq031mp1328,https://purl.stanford.edu/hq031mp1328,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:hq213mg3133,https://purl.stanford.edu/hq213mg3133,"Jessie Jackson - Martin Luther King, Jr. Day",,1/15/87,still image,http://vocab.getty.edu/aat/300046300
druid:hq357wp2978,https://purl.stanford.edu/hq357wp2978,Students Out of South Africa--Sit-in at Old Union,,10/16/85,still image,http://vocab.getty.edu/aat/300046300
druid:hq544rb2799,https://purl.stanford.edu/hq544rb2799,"Racism Lives Here Too supporters, 2018",,2018-02,still image,http://vocab.getty.edu/aat/300046300
druid:hq837sd5443,https://purl.stanford.edu/hq837sd5443,Anayelia Middleton - Staff - Black Students at Stanford Brochure,,8/15/85,still image,http://vocab.getty.edu/aat/300046300
druid:hq947nc1058,https://purl.stanford.edu/hq947nc1058,F15-AFRICAST-301A-01,The Dynamics Of Change In Africa,2015,text,http://vocab.getty.edu/aat/300028026
druid:hr085ps6356,https://purl.stanford.edu/hr085ps6356,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:hr098yw7088,https://purl.stanford.edu/hr098yw7088,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:hr153xb1608,https://purl.stanford.edu/hr153xb1608,Maya Angelou,,2/6/73,still image,http://vocab.getty.edu/aat/300027221
druid:hr236wm5324,https://purl.stanford.edu/hr236wm5324,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:hr304kj9993,https://purl.stanford.edu/hr304kj9993,F15-AFRICAST-133B-01,"Covering Islam: On What We Learn To See, Think And Hear About Islam And Muslims",2015,text,http://vocab.getty.edu/aat/300028026
druid:hr818mp0261,https://purl.stanford.edu/hr818mp0261,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:hr988zx8076,https://purl.stanford.edu/hr988zx8076,"The Real News, Volume 11, Number 5",,1/18/79,text,
druid:hs025sc6221,https://purl.stanford.edu/hs025sc6221,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:hs228pn0060,https://purl.stanford.edu/hs228pn0060,Dawn Porter,,4/6/19,sound recording-nonmusical,http://id.loc.gov/vocabulary/marcgt/int
druid:hs486wf5398,https://purl.stanford.edu/hs486wf5398,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:hs591zt5605,https://purl.stanford.edu/hs591zt5605,Black Community Services Center Information Packet,,,text,
druid:hs617cn8038,https://purl.stanford.edu/hs617cn8038,"The Real News, Volume 22, Number 1",1990-06,1990-06,text,
druid:hs621vc5409,https://purl.stanford.edu/hs621vc5409,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:hs690ws5751,https://purl.stanford.edu/hs690ws5751,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:hs957yb3218,https://purl.stanford.edu/hs957yb3218,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:ht239kq2080,https://purl.stanford.edu/ht239kq2080,Black Liberation Month,,1977-02,text,http://vocab.getty.edu/aat/300224742
druid:ht256kr4053,https://purl.stanford.edu/ht256kr4053,South Africa Divestment protest at President's Office,,7/26/85,still image,http://vocab.getty.edu/aat/300046300
druid:ht442qj8285,https://purl.stanford.edu/ht442qj8285,"Rally the Resistance, Stanford University",,1/20/17,still image,http://vocab.getty.edu/aat/300046300
druid:ht754nd6532,https://purl.stanford.edu/ht754nd6532,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:ht866bp9609,https://purl.stanford.edu/ht866bp9609,Organizing in jail; Legal system flowchart; Additional legal information; The legal process,,1985,mixed material,
druid:ht990nd4712,https://purl.stanford.edu/ht990nd4712,Julian Bond,,,still image,http://vocab.getty.edu/aat/300046300
druid:hv123wg1952,https://purl.stanford.edu/hv123wg1952,W13-AFRICAAM-204F-01,The Modern Tradition Of Non-violent Resistance,2013,text,http://vocab.getty.edu/aat/300028026
druid:hv212zn3148,https://purl.stanford.edu/hv212zn3148,W14-AFRICAST-142-01,"Challenging The Status Quo: Social Entrepreneurs Advancing Democracy, Development And Justice",2014,text,http://vocab.getty.edu/aat/300028026
druid:hv276xs8046,https://purl.stanford.edu/hv276xs8046,"Parents Weekend, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:hv376gy7976,https://purl.stanford.edu/hv376gy7976,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:hv580pc9284,https://purl.stanford.edu/hv580pc9284,F09-AFRICAST-301A-01,The Dynamics Of Change In Africa,2009,text,http://vocab.getty.edu/aat/300028026
druid:hv776rk4866,https://purl.stanford.edu/hv776rk4866,The Committee on Black Performing Arts presents Dance Theatre of the Afro-Americas,,2/24/80,text,http://vocab.getty.edu/aat/300027425
druid:hv901rz3776,https://purl.stanford.edu/hv901rz3776,African Life,,4/23/82,still image,http://vocab.getty.edu/aat/300224742
druid:hw040cp8282,https://purl.stanford.edu/hw040cp8282,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:hw062dg5732,https://purl.stanford.edu/hw062dg5732,"Martin Luther King, Jr. at Stanford",,4/14/67,still image,http://vocab.getty.edu/aat/300046300
druid:hw079dx6923,https://purl.stanford.edu/hw079dx6923,"Katrina, photograph shared at Black Grad 2003 slideshow, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:hw105vc3472,https://purl.stanford.edu/hw105vc3472,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:hw263tg8264,https://purl.stanford.edu/hw263tg8264,"Transition to new building, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:hw340bx3810,https://purl.stanford.edu/hw340bx3810,"Jessie Jackson - Martin Luther King, Jr. Day",,1/15/87,still image,http://vocab.getty.edu/aat/300046300
druid:hw434mg4242,https://purl.stanford.edu/hw434mg4242,An evening with Wilma Rudolph,,1980-03,still image,
druid:hw539xd8757,https://purl.stanford.edu/hw539xd8757,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:hw711zr3094,https://purl.stanford.edu/hw711zr3094,"I love the vibrancy and diversity of your people - said at SLS. Racism Lives Here Too, 2018",,2018-02,still image,http://vocab.getty.edu/aat/300027221
druid:hw790tp2875,https://purl.stanford.edu/hw790tp2875,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:hw817jt6085,https://purl.stanford.edu/hw817jt6085,Black Student Relief Fund Prog.-Big Daddy-Dave McCullum and Mrs. and President Lyman,,11/27/73,still image,http://vocab.getty.edu/aat/300046300
druid:hx170dh2635,https://purl.stanford.edu/hx170dh2635,Grapevine,,4/12/82,text,
druid:hx175fs4201,https://purl.stanford.edu/hx175fs4201,Reception for Black Graduate Students,,10/17/86,still image,http://vocab.getty.edu/aat/300046300
druid:hx318pg6266,https://purl.stanford.edu/hx318pg6266,Grapevine,,5/23/83,text,
druid:hx369tf5872,https://purl.stanford.edu/hx369tf5872,"Ski Trip Ujamaa, photograph shared at Black Grad 2003 slideshow, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:hx452mp6195,https://purl.stanford.edu/hx452mp6195,Clayborne Carson - Associate Professor History,,8/8/85,still image,http://vocab.getty.edu/aat/300046300
druid:hx774tz8282,https://purl.stanford.edu/hx774tz8282,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:hx794jj6750,https://purl.stanford.edu/hx794jj6750,"Ella Fitzgerald and Duke Ellington, Jazz Year 1965",,10/31/65,still image,http://vocab.getty.edu/aat/300046300
druid:hx832yw6555,https://purl.stanford.edu/hx832yw6555,Making the Spirit of 20th and 21st Century Culture,5,,moving image,http://vocab.getty.edu/aat/300069200
druid:hx958tj5238,https://purl.stanford.edu/hx958tj5238,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:hy090dh8604,https://purl.stanford.edu/hy090dh8604,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:hy126mb7088,https://purl.stanford.edu/hy126mb7088,Tutors Needed,,,still image,http://vocab.getty.edu/aat/300224742
druid:hy145bc7241,https://purl.stanford.edu/hy145bc7241,"Black Lives Matter memorial, Stanford University",,7/22/20,still image,http://vocab.getty.edu/aat/300417379
druid:hy165rz8258,https://purl.stanford.edu/hy165rz8258,"Black Lives Matter memorial, Stanford University",,7/22/20,still image,http://vocab.getty.edu/aat/300417379
druid:hy193cq5187,https://purl.stanford.edu/hy193cq5187,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:hy249dy5442,https://purl.stanford.edu/hy249dy5442,Model cities grant application,Final Draft,1968,text,
druid:hy416yb2729,https://purl.stanford.edu/hy416yb2729,South Africa Perspectives- South Africa fact sheet,,1985,mixed material,
druid:hy463cr0181,https://purl.stanford.edu/hy463cr0181,2005-06 Events: IDA 1st Lecture,,1/12/06,moving image,http://vocab.getty.edu/aat/300069200
druid:hy465rw3883,https://purl.stanford.edu/hy465rw3883,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:hy517zh0149,https://purl.stanford.edu/hy517zh0149,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:hy733yh2471,https://purl.stanford.edu/hy733yh2471,Harold Boyd,,,text,http://vocab.getty.edu/aat/300027388
druid:hy790gj7533,https://purl.stanford.edu/hy790gj7533,"Black students ""Tamorines to Glory"" musical dress rehearsal-Sandra Richards Assistant Director",,4/18/72,still image,http://vocab.getty.edu/aat/300046300
druid:hy795yb6755,https://purl.stanford.edu/hy795yb6755,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:hy817hs0128,https://purl.stanford.edu/hy817hs0128,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:hy934pv1358,https://purl.stanford.edu/hy934pv1358,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:hy949yr8710,https://purl.stanford.edu/hy949yr8710,Omega Psi Phi,,1/22/82,still image,http://vocab.getty.edu/aat/300224742
druid:hz012bf4186,https://purl.stanford.edu/hz012bf4186,Ujamaa residents,,,still image,http://vocab.getty.edu/aat/300046300
druid:hz025wt3293,https://purl.stanford.edu/hz025wt3293,"Ella Fitzgerald and Duke Ellington, Jazz Year 1965",,10/31/65,still image,http://vocab.getty.edu/aat/300046300
druid:hz230yv5293,https://purl.stanford.edu/hz230yv5293,East Palo Alto/Nairobi Legacy Reunion,,7/23/04,still image,http://vocab.getty.edu/aat/300046300
druid:hz315ry9315,https://purl.stanford.edu/hz315ry9315,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:hz488jz9953,https://purl.stanford.edu/hz488jz9953,Grapevine,,5/2/74,text,
druid:jb087mk7775,https://purl.stanford.edu/jb087mk7775,"Jessie Jackson - Martin Luther King, Jr. Day",,1/15/87,still image,http://vocab.getty.edu/aat/300046300
druid:jb135yk2333,https://purl.stanford.edu/jb135yk2333,"St. Clair Drake, Professor of Anthropology & Sociology, in the classroom, Stanford University",,3/21/74,still image,http://vocab.getty.edu/aat/300046300
druid:jb148sm9983,https://purl.stanford.edu/jb148sm9983,Sp10-AFRICAST-111-01,Education For All? The Global And Local In Public Policy Making In Africa,2010,text,http://vocab.getty.edu/aat/300028026
druid:jb363jn0275,https://purl.stanford.edu/jb363jn0275,Jacyn Mitchell - Director Government Relations - Black Students at Stanford Brochure,,8/13/85,still image,http://vocab.getty.edu/aat/300046300
druid:jb578zg9448,https://purl.stanford.edu/jb578zg9448,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:jb589pj6023,https://purl.stanford.edu/jb589pj6023,F13-AFRICAAM-147-01,History Of South Africa,2013,text,http://vocab.getty.edu/aat/300028026
druid:jb610tq6639,https://purl.stanford.edu/jb610tq6639,Reception for Black Graduate Students,,10/17/86,still image,http://vocab.getty.edu/aat/300046300
druid:jb730fs9486,https://purl.stanford.edu/jb730fs9486,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:jb957kj0521,https://purl.stanford.edu/jb957kj0521,Jack Owicki photographs of the Black Lives Matter memorial at Stanford University,,2020,mixed material,
druid:jc119jz7986,https://purl.stanford.edu/jc119jz7986,Reception for Black Graduate Students,,10/17/86,still image,http://vocab.getty.edu/aat/300046300
druid:jc312mg9764,https://purl.stanford.edu/jc312mg9764,Karen Holloway Williams,Alumni Stories,10/24/19,sound recording-nonmusical,http://id.loc.gov/vocabulary/marcgt/int
druid:jc405kk0832,https://purl.stanford.edu/jc405kk0832,Collard Greens Cultural Festival,,7/24/04,still image,http://vocab.getty.edu/aat/300046300
druid:jc406vf2533,https://purl.stanford.edu/jc406vf2533,"Ujamaa, Stanford Jam Pac'd",,,still image,http://vocab.getty.edu/aat/300046300
druid:jc526bv9436,https://purl.stanford.edu/jc526bv9436,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:jc672qz0918,https://purl.stanford.edu/jc672qz0918,Club Ujamaa,,,still image,http://vocab.getty.edu/aat/300224742
druid:jc697xr2183,https://purl.stanford.edu/jc697xr2183,Ujamaa residents,,,still image,http://vocab.getty.edu/aat/300046300
druid:jc739mn5896,https://purl.stanford.edu/jc739mn5896,"Martin Luther King, Jr. at Stanford",,4/14/67,still image,http://vocab.getty.edu/aat/300046300
druid:jc785wn8904,https://purl.stanford.edu/jc785wn8904,"Jerrid and Justin, photograph shared at Black Grad 2003 slideshow, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:jc977dz0654,https://purl.stanford.edu/jc977dz0654,Ujamaa residents,,,still image,http://vocab.getty.edu/aat/300046300
druid:jc991tw3553,https://purl.stanford.edu/jc991tw3553,Rev. Martin Luther King at Stanford,,4/23/64,still image,http://vocab.getty.edu/aat/300046300
druid:jd062zb1096,https://purl.stanford.edu/jd062zb1096,Christine Obbo talk and dinner,,,still image,
druid:jd318tr2941,https://purl.stanford.edu/jd318tr2941,"Ujamaa, rafting trip",,,still image,http://vocab.getty.edu/aat/300046300
druid:jd408ck0152,https://purl.stanford.edu/jd408ck0152,Ujamaa residents,,,still image,http://vocab.getty.edu/aat/300046300
druid:jd434gj1239,https://purl.stanford.edu/jd434gj1239,"Press release May 6, 1985",,5/6/85,mixed material,
druid:jd488zk3635,https://purl.stanford.edu/jd488zk3635,"Photograph shared at Black Grad 2003 slideshow, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:jd579hg7602,https://purl.stanford.edu/jd579hg7602,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:jd598ws9730,https://purl.stanford.edu/jd598ws9730,Figures in Black history,,,still image,
druid:jd894hg4760,https://purl.stanford.edu/jd894hg4760,"Clayborne Carson, African-American History: The Modern Freedom Struggle, 2007-11-15",,11/15/07,moving image,http://id.loc.gov/authorities/genreForms/gf2011026712
druid:jf039wd4113,https://purl.stanford.edu/jf039wd4113,"Transition to new building, Black Community Services Center, Stanford University, Stanford, Calif.",,,still image,http://vocab.getty.edu/aat/300417379
druid:jf195dr0949,https://purl.stanford.edu/jf195dr0949,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:jf243fv0864,https://purl.stanford.edu/jf243fv0864,Grapevine,,11/9/81,text,
druid:jf437fp3314,https://purl.stanford.edu/jf437fp3314,"Ujamaa, rafting trip",,,still image,http://vocab.getty.edu/aat/300046300
druid:jf563ht3007,https://purl.stanford.edu/jf563ht3007,"Ella Fitzgerald and Duke Ellington, Jazz Year 1965",,10/31/65,still image,http://vocab.getty.edu/aat/300046300
druid:jf600yr8458,https://purl.stanford.edu/jf600yr8458,Sp15-AFRICAST-115-01,South African Encounters,2015,text,http://vocab.getty.edu/aat/300028026
druid:jf614nf6317,https://purl.stanford.edu/jf614nf6317,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:jf707vh3857,https://purl.stanford.edu/jf707vh3857,"Clayborne Carson, African-American History: The Modern Freedom Struggle, 2007-12-06",,12/6/07,moving image,http://id.loc.gov/authorities/genreForms/gf2011026712
druid:jf762yp2387,https://purl.stanford.edu/jf762yp2387,Picnic,,,still image,http://vocab.getty.edu/aat/300224742
druid:jf821sm4524,https://purl.stanford.edu/jf821sm4524,East Palo Alto/Nairobi Legacy Reunion: Mel Harris,,7/23/04,still image,http://vocab.getty.edu/aat/300046300
druid:jg259gg4391,https://purl.stanford.edu/jg259gg4391,F10-AFRICAAM-43-01,Introduction To African American Literature,2010,text,http://vocab.getty.edu/aat/300028026
druid:jg272qz5069,https://purl.stanford.edu/jg272qz5069,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
druid:jg358dq7450,https://purl.stanford.edu/jg358dq7450,W11-AFRICAAM-110-01,"""the Environment"" In Context: Race, Ethnicity, And Environmental Conceptions",2011,text,http://vocab.getty.edu/aat/300028026
druid:jg434tg8296,https://purl.stanford.edu/jg434tg8296,"Mexicans are diluting our country - said at SLS. Racism Lives Here Too, 2018",,2018-02,still image,http://vocab.getty.edu/aat/300027221
druid:jg493zj2723,https://purl.stanford.edu/jg493zj2723,South Carolina Sea Islands Learning Expedition,Tapes 7-8,1999,moving image,http://vocab.getty.edu/aat/300265794
druid:jg507kb1947,https://purl.stanford.edu/jg507kb1947,Grapevine,,12/5/83,text,
druid:jg558zv0901,https://purl.stanford.edu/jg558zv0901,Sit-in protesting South African Investment - Board of Trustee's Meeting at Hoover Institute - Protestors block Trustee's Cars - Students Out of South Africa,,5/16/85,still image,http://vocab.getty.edu/aat/300046300
druid:jg694nj3691,https://purl.stanford.edu/jg694nj3691,F14-AFRICAAM-166-01,Introduction To African American History - The Modern Freedom Struggle,2014,text,http://vocab.getty.edu/aat/300028026
druid:jg753xg1178,https://purl.stanford.edu/jg753xg1178,"Black Lives Matter memorial, Stanford University",,7/22/20,still image,http://vocab.getty.edu/aat/300417379
druid:jg859mm6593,https://purl.stanford.edu/jg859mm6593,"Ujamaa, EPASSA Summer Academy",,1989,still image,http://vocab.getty.edu/aat/300046300
druid:jg876qt4754,https://purl.stanford.edu/jg876qt4754,The Black Power Imperative,,1987-02,text,http://vocab.getty.edu/aat/300027267
druid:jg981fp8959,https://purl.stanford.edu/jg981fp8959,Black Student Union News conference,,4/27/87,still image,http://vocab.getty.edu/aat/300046300
druid:jh093tq0931,https://purl.stanford.edu/jh093tq0931,Is You Woke? Examining the Impact of Schools on the Racial-Ethnic Identity Development of Black Multiracial Students,,2018-05,text,
druid:jh093xg4375,https://purl.stanford.edu/jh093xg4375,Sit-in protesting South African investment--Board of Trustee's meeting at Hoover Institution,,5/14/85,still image,http://vocab.getty.edu/aat/300046300
druid:jh276ys9846,https://purl.stanford.edu/jh276ys9846,"Ujamaa, hula party",,,still image,http://vocab.getty.edu/aat/300046300
druid:jh292kc5847,https://purl.stanford.edu/jh292kc5847,The Stanford ReMix Project,,3/16/07,still image,http://vocab.getty.edu/aat/300046300
